freq,indic_is,unit,ind_type,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,I_IUBK,PC_IND,IND_TOTAL,AL	: 	: 	: 	: 	: 	1.55 	1.69 	3.92 	5.24 	10.86 	15.10 	18.53 
A,I_IUBK,PC_IND,IND_TOTAL,AT	48.60 	47.95 	51.03 	53.34 	57.49 	58.41 	62.78 	65.79 	71.31 	73.13 	77.17 	78.24 
A,I_IUBK,PC_IND,IND_TOTAL,BA	: 	: 	: 	: 	: 	4.90 	5.45 	12.26 	12.82 	: 	19.93 	27.34 
A,I_IUBK,PC_IND,IND_TOTAL,BE	57.83 	61.24 	62.28 	64.48 	66.63 	68.74 	71.18 	75.30 	75.26 	79.51 	79.60 	83.34 
A,I_IUBK,PC_IND,IND_TOTAL,BG	4.57 	4.70 	5.35 	4.40 	5.49 	7.37 	8.57 	12.57 	14.87 	22.44 	23.43 	31.33 
A,I_IUBK,PC_IND,IND_TOTAL,CH	: 	54.29 	: 	: 	66.05 b	: 	72.84 	: 	77.44 	: 	83.80 	: 
A,I_IUBK,PC_IND,IND_TOTAL,CY	23.26 	24.20 	20.47 	27.72 	27.59 	33.28 	40.54 	52.12 	64.71 	63.94 	70.86 	80.54 
A,I_IUBK,PC_IND,IND_TOTAL,CZ	41.49 	46.05 	48.44 	51.36 	56.55 	62.42 	67.96 	69.66 	72.78 	77.09 	79.84 	83.57 
A,I_IUBK,PC_IND,IND_TOTAL,DE	47.12 	48.76 	50.98 	52.97 	55.56 	58.84 	61.10 	64.91 	50.35 b	48.58 	57.22 	66.92 
A,I_IUBK,PC_IND,IND_TOTAL,DK	82.46 	84.28 	84.89 	87.86 	89.77 	89.47 	90.78 	94.32 	94.59 	94.35 	96.22 	97.76 
A,I_IUBK,PC_IND,IND_TOTAL,EE	72.22 	76.56 b	80.67 	78.59 	79.23 	80.36 	80.72 	79.84 	81.51 	83.36 	84.89 	83.39 
A,I_IUBK,PC_IND,IND_TOTAL,EL	10.72 	13.14 	13.87 	19.16 	25.12 	27.28 	30.51 	36.55 	42.40 	49.78 	52.01 	54.15 
A,I_IUBK,PC_IND,IND_TOTAL,ES	32.91 	37.42 	39.37 	43.15 	46.18 	48.66 	54.88 	62.10 	65.16 	69.60 	71.45 	74.96 
A,I_IUBK,PC_IND,IND_TOTAL,EU27_2020	40.13 	42.29 	43.82 	46.27 	48.88 	51.43 	54.57 	57.69 e	58.31 b	59.63 	63.87 	67.24 
A,I_IUBK,PC_IND,IND_TOTAL,FI	84.40 	85.61 	85.68 	86.41 	87.41 	88.71 	90.72 	92.18 	93.26 	94.68 	94.48 	94.99 
A,I_IUBK,PC_IND,IND_TOTAL,FR	57.56 	57.60 	58.28 	59.36 	62.01 	63.48 	65.55 	: 	71.60 	67.86 	72.41 	71.88 
A,I_IUBK,PC_IND,IND_TOTAL,HR	23.32 	19.14 	32.90 	38.33 	33.30 	40.74 	46.46 	50.15 	55.53 	57.96 	61.88 	61.52 
A,I_IUBK,PC_IND,IND_TOTAL,HU	26.90 	30.52 	33.80 	35.26 	37.70 	41.27 	46.70 	51.31 	55.98 	61.04 	65.52 	66.85 
A,I_IUBK,PC_IND,IND_TOTAL,IE	45.58 	48.11 	51.47 	52.34 	57.64 	57.67 	67.39 	68.99 	76.87 b	82.87 	83.77 	86.71 
A,I_IUBK,PC_IND,IND_TOTAL,IS	86.74 	91.40 	: 	: 	93.02 	94.29 	94.26 	95.93 	94.87 	: 	: 	: 
A,I_IUBK,PC_IND,IND_TOTAL,IT	21.72 	26.07 	28.06 	28.96 	30.83 	33.83 	36.31 	39.45 	45.15 	48.35 	51.55 	55.01 
A,I_IUBK,PC_IND,IND_TOTAL,LT	46.42 	53.57 	50.16 	54.20 	56.19 	60.62 	64.73 	67.60 	72.39 	74.82 	75.73 	79.63 
A,I_IUBK,PC_IND,IND_TOTAL,LU	62.93 	66.51 	65.10 	70.91 	76.42 	67.67 b	70.60 	70.63 	71.76 	69.96 	71.14 	76.06 
A,I_IUBK,PC_IND,IND_TOTAL,LV	54.89 	56.76 	64.32 	62.08 b	61.19 	66.33 	71.58 	76.40 	80.23 	82.45 	83.74 	84.95 
A,I_IUBK,PC_IND,IND_TOTAL,ME	: 	: 	: 	: 	3.84 	1.89 	3.16 	7.40 	8.09 	11.35 	13.46 	16.14 
A,I_IUBK,PC_IND,IND_TOTAL,MK	5.93 	8.52 	4.92 	8.66 	8.15 	9.46 	14.88 	15.28 	26.95 	: 	: 	36.70 
A,I_IUBK,PC_IND,IND_TOTAL,MT	43.24 	44.98 	47.49 	47.03 	50.01 	50.91 	53.88 	60.32 	62.82 	66.32 	67.38 	73.90 
A,I_IUBK,PC_IND,IND_TOTAL,NL	82.01 	83.43 	84.53 	84.69 	88.91 	88.94 	90.63 	89.41 	90.76 	90.72 	95.13 	96.35 
A,I_IUBK,PC_IND,IND_TOTAL,NO	86.81 	89.23 	90.37 	91.23 	92.34 	93.12 	95.23 	93.68 	96.13 	95.84 	96.85 	96.80 
A,I_IUBK,PC_IND,IND_TOTAL,PL	32.01 	32.59 	31.20 	39.11 	39.77 	44.01 	47.27 	49.49 	52.24 	55.55 	59.09 	56.75 
A,I_IUBK,PC_IND,IND_TOTAL,PT	22.62 	25.27 	28.22 	28.87 	31.29 	38.55 	41.95 	47.06 	52.83 	57.45 	58.88 	63.49 
A,I_IUBK,PC_IND,IND_TOTAL,RO	4.30 	4.16 b	5.34 	5.06 	6.83 	6.87 	8.36 	11.65 	15.49 	19.19 	21.89 	27.72 
A,I_IUBK,PC_IND,IND_TOTAL,RS	: 	: 	8.44 	: 	15.94 	14.93 	17.85 	17.08 	20.75 	24.84 	31.82 	36.11 
A,I_IUBK,PC_IND,IND_TOTAL,SE	81.81 	81.66 	79.64 	83.19 b	86.47 	83.86 	84.47 	84.69 	83.50 	83.50 	84.49 	83.07 
A,I_IUBK,PC_IND,IND_TOTAL,SI	32.31 	32.28 	33.66 	35.22 	39.05 	41.92 	47.13 	51.80 	57.13 	56.86 	60.69 	63.97 
A,I_IUBK,PC_IND,IND_TOTAL,SK	38.74 	40.59 	37.27 	45.37 	51.11 	49.80 	54.77 	58.20 	57.89 	48.08 	57.72 	57.99 
A,I_IUBK,PC_IND,IND_TOTAL,TR	10.72 	13.66 	15.04 	18.10 	22.93 	28.08 	34.84 	39.42 	46.00 	51.18 	57.66 	61.95 
A,I_IUBK,PC_IND,IND_TOTAL,UK	54.02 	56.85 	58.38 	64.16 	68.35 	73.88 	77.70 	80.41 	: 	: 	: 	: 
A,I_IUBK,PC_IND,IND_TOTAL,XK	: 	: 	: 	: 	3.62 	1.50 	5.42 	8.90 	: 	: 	: 	: 
